PD,STIMU,Rate (Hz),ISI mean (ms),ISI std  (ms),mean mean diff,mean std diff,std mean diff ,std std diff,var diff mean,var std diff,mean mean FR,std mean Fr
0,1,6.375,139.3697,51.3359,1.8891,1.511,2.0072,2.3644,4.0287,5.5903,0.9375,0.0484
0,1,7,152.4158,42.3369,0.8963,0.3677,0.7422,0.918,0.5509,0.8426,0.925,0.1299
0,1,6.125,146.3502,41.4232,0.1207,1.5059,1.4792,0.6763,2.1879,0.4574,0.875,0.0968
0,1,6.375,151.6803,59.8025,2.9421,3.3193,1.7061,2.1953,2.9108,4.8193,0.9,0.1
0,1,7.75,132.7553,34.1472,0.8265,0.7602,1.783,1.3267,3.1789,1.7602,0.9375,0.0857
0,1,5.875,169.5825,56.3965,2.7748,2.8519,2.3901,2.8504,5.7125,8.1246,0.9375,0.0696
0,1,7.125,141.0918,41.6108,0.41,2.25,1.3352,2.2608,1.7827,5.1113,0.9125,0.1053
0,1,6.375,138.19,36.4671,2.6742,2.5682,2.3618,2.4982,5.5783,6.2411,0.9,0.1323
0,1,5.75,157.9995,49.5995,1.9092,2.2778,2.4132,2.4039,5.8237,5.7787,0.9125,0.1053
0,1,5.25,159.2967,43.5217,1.5443,2.3961,2.3201,2.6741,5.3829,7.1506,0.95,0.0707
0,1,6.125,139.932,34.8819,1.7067,2.4743,2.4924,2.5329,6.212,6.4155,0.9125,0.0599
0,1,6.5,135.323,40.5498,-1.2027,-0.1028,1.941,0.3165,3.7675,0.1002,0.925,0.1785
0,1,7.25,141.2463,45.6976,0.9624,0.9452,2.1815,2.5268,4.759,6.3847,0.925,0.0829
0,1,6.875,154.2905,54.8136,2.0175,1.7337,2.1431,2.6882,4.5929,7.2266,0.925,0.109
0,1,7,151.1487,49.1948,2.4925,2.5592,1.1583,1.7458,1.3415,3.0478,0.95,0.1
0,1,6.375,139.5405,33.5209,0.405,1.8297,0.9415,2.8978,0.8865,8.3973,0.8875,0.1691
0,1,5.5,167.2375,46.1784,0.8569,1.8875,1.8535,2.4756,3.4354,6.1287,0.8875,0.0927
0,1,6.75,138.9612,41.047,2.5818,2.557,2.8742,3.2191,8.2612,10.3626,0.8625,0.1409
0,1,5.5,196.9525,84.523,2.3589,2.0028,1.7116,2.3039,2.9296,5.3081,0.9125,0.0927
0,1,6.75,131.0155,31.9237,2.535,2.2754,2.4773,3.2599,6.1371,10.6272,0.925,0.0968
0,1,6.375,156.6745,45.0612,1.639,2.2261,2.1243,2.2422,4.5126,5.0276,0.8875,0.1269
0,1,6.875,132.028,33.9282,-0.5074,2.0099,2.4252,3.1301,5.8815,9.7973,0.8875,0.0927
0,1,7,137.1312,29.5349,2.3073,2.9931,2.6574,3.2888,7.0616,10.8163,0.9375,0.0696
0,1,6.75,134.6973,31.7404,1.1321,1.57,1.0199,0.8992,1.0401,0.8086,0.95,0.05
0,1,6.375,136.9297,37.7611,1.2894,0.2961,1.4621,0.9368,2.1377,0.8776,0.95,0.1118
0,1,7.25,137.8183,43.3141,2.7319,2.5217,2.6147,3.289,6.8369,10.8173,0.925,0.1639
0,1,6.375,164.2662,65.1629,1.776,2.9171,1.2685,3.7655,1.609,14.1792,0.9,0.25
0,1,6.25,139.0932,33.7863,1.727,1.7055,1.6838,1.791,2.8351,3.2078,0.9125,0.1053
0,1,6.875,131.9698,30.5412,0.354,1.5017,2.2261,2.6372,4.9554,6.955,0.925,0.1785
0,1,6.125,140.6717,33.5272,2.296,2.9627,2.3272,3.057,5.4159,9.3451,0.875,0.109
0,1,7,140.698,47.0652,1.6019,0.8978,2.3261,3.2721,5.4107,10.7065,0.925,0.0661
0,1,6.25,147.9417,46.005,0.6547,1.1003,1.3388,2.6327,1.7924,6.9312,0.9625,0.0484
0,1,6.625,147.7003,44.7191,2.7736,2.2987,2.2723,2.7534,5.1634,7.581,0.925,0.1199
0,1,6.25,143.0355,40.0172,1.5538,1.0688,3.2733,3.4146,10.7145,11.6597,0.8875,0.1269
