PD flag,PD proba,Stimulation proba (rounded),CTX rate (Hz),ISI mean (ms),ISI std (ms),,,
0,0.109,0,2.625,169.07,17.02,,,
0,0.012,1,6.25,137.7333,30.3073,,,
0,0.001,1,6,139.784,38.0866,,,
0,0.042,0,4,297.5633,37.9144,,,
0,0.084,1,5.875,169.5877,56.7894,,,
0,0.003,1,6.125,143.224,36.3603,,,
0,0.001,0,3,273.34,9.7527,,,
0,0.017,0,3.75,305.0683,56.7998,,,
0,0.223,0,2.375,137.0617,4.0763,,,
0,0.003,0,3.75,303.6,97.64,,,
0,0.002,1,5.75,148.8653,44.122,,,
0,0.061,1,6.5,134.313,27.2257,,,
0,0.005,0,2.625,183.095,9.755,,,
0,0.002,0,2.75,218.625,7.795,,,
0,0.039,1,6.625,143.6073,37.9648,,,
0,0.006,0,2.875,215.02,11.53,,,
0,0.001,0,2.75,253.25,3.73,,,
0,0.009,0,2.875,182.75,4.61,,,
0,0.018,0,3.125,251.6467,13.9767,,,
0,0.064,1,6.625,146.5008,34.3299,,,
0,0.219,1,6.375,162.2497,65.6028,,,
0,0.009,1,6.25,135.5987,32.4606,,,
0,0.004,1,6.25,139.8368,39.957,,,
0,0.917,0,3.875,234.465,42.9375,,,
0,0,0,2.75,311.605,23.085,,,
0,0.021,0,3.125,233.48,9.92,,,
0,0,0,2.625,266.09,2.58,,,
0,0.361,0,4.125,244.75,61.6823,,,
0,0.08,1,5.75,180.9308,44.7176,,,
0,0.001,1,5.75,141.556,49.5131,,,
0,0.012,1,6.125,149.06,49.0045,,,
0,0.072,1,6.875,133.412,42.6744,,,
0,0.06,1,6.625,144.4725,34.7542,,,
0,0.253,1,7.25,145.9583,49.6734,,,
0,0.017,0,3,216.675,15.075,,,
0,0.455,1,7.375,138.5193,41.4292,,,
0,0.052,1,6.625,146.2317,35.9101,,,
0,0.002,0,3,265.745,23.615,,,
0,0.832,0,3.75,234.575,35.9071,,,
0,0.003,0,2.75,220.24,14.09,,,
0,0.713,1,7.125,149.1538,29.0999,,,
0,0.368,0,3.125,181.11,19.5675,,,
0,0.645,1,7,128.1062,28.9337,,,
0,0.002,1,5.75,149.9145,41.4117,,,
0,0.008,0,2.875,213.495,15.795,,,
0,0.005,1,5.75,159.3958,42.8073,,,
0,0.03,1,6.625,138.9823,39.6554,,,
0,0.001,0,2.625,229.98,13.08,,,
0,0.121,1,7,153.4897,41.2483,,,
0,0.579,1,7.375,139.727,38.4328,,,
0,0.029,0,3.625,322.835,35.1192,,,
0,0.121,1,7,149.0992,42.8053,,,
0,0.21,1,7.125,150.7405,48.9286,,,
0,0,0,2.5,194.22,5.4,,,
0,0.002,1,6,140.5648,36.13,,,
0,0,0,2.625,325.485,7.375,,,
0,0.625,1,7.5,134.8297,40.9479,,,
0,0.164,1,7,134.4197,40.9651,,,
0,0.085,1,6.625,136.9115,30.53,,,
0,0.007,1,5.75,159.885,48.3223,,,
0,0.138,1,6.875,156.2865,45.842,,,
0,0.028,1,6.5,145.891,35.5743,,,
0,0.324,1,7.125,148.101,37.3747,,,
0,0.126,1,7,141.4953,42.331,,,
0,0.26,1,7,137.183,36.9357,,,
0,0.016,0,3.5,266.72,35.07,,,
0,0.016,1,6.5,145.4937,39.4937,,,
0,0.118,1,7,143.194,42.4966,,,
0,0.016,0,3.25,337.315,21.985,,,
