Rate (Hz),ISI mean (ms),ISI std  (ms),PD,STIMU
6.375,150.8888,42.4757,0,1
6.75,140.0827,40.8404,0,1
5.5,155.0142,47.4836,0,1
4.875,142.7708,36.0032,0,1
5.375,163.546,30.4115,0,1
5.75,196.48,83.2127,0,1
6.25,144.946,34.0726,0,1
5.25,164.4868,63.5467,0,1
5.375,152.5048,48.9361,0,1
7.125,146.2372,44.5818,0,1
7.75,128.1773,31.1571,0,1
6,147.3382,35.6059,0,1
6,152.8753,46.0089,0,1
6.75,152.9105,38.6479,0,1
6.25,134.9515,35.5607,0,1
4.125,203.0617,70.5786,0,1
5.5,174.775,41.6829,0,1
5.875,147.226,33.3638,0,1
6.25,143.791,36.3669,0,1
6.875,149.068,48.8681,0,1
6.875,149.9852,44.0655,0,1
6.375,141.8773,34.6468,0,1
6.375,142.7902,40.8105,0,1
5.375,180.1912,73.6771,0,1
5.5,155.7213,40.3663,0,1
6.125,146.1905,37.5132,0,1
6.625,149.6435,45.4567,0,1
6.125,140.1868,35.9103,0,1
7.375,133.387,33.9535,0,1
6.5,154.6992,38.9768,0,1
6.75,138.9759,38.1119,0,1
7,158.147,50.6113,0,1
6.75,137.9895,36.5726,0,1
5.875,153.1648,46.852,0,1
5.875,161.4112,62.2521,0,1
6,138.2327,41.6161,0,1
5.75,148.9828,38.8009,0,1
6.75,136.1458,35.9364,0,1
6.875,131.2318,35.9784,0,1
4.875,181.9658,59.5486,0,1
5.625,135.9848,25.5492,0,1
6.25,147.9338,37.0444,0,1
5.5,146.8842,31.3995,0,1
6.125,144.4597,31.8262,0,1
7.25,135.344,41.7812,0,1
6,138.919,30.4667,0,1
5.625,183.8958,43.8446,0,1
7.375,126.4145,32.017,0,1
5.5,163.0653,45.6701,0,1
5.625,171.144,45.1021,0,1
4.125,180.3517,45.4639,0,1
3.875,193.0417,66.2435,0,1
5.125,150.6728,45.5896,0,1
6.25,151.5477,55.6797,0,1
6.25,139.8838,38.9481,0,1
5.875,158.3318,39.3617,0,1
6,144.8207,38.7339,0,1
6.625,129.1407,31.159,0,1
6.375,156.336,41.5303,0,1
6.625,132.3383,32.5087,0,1
6.25,139.8003,28.1887,0,1
5.5,145.045,31.5351,0,1
6.125,154.915,35.7071,0,1
6.875,147.3245,35.2914,0,1
6.875,128.7025,31.3134,0,1
6.625,132.0977,38.7932,0,1
6.375,140.2688,38.6331,0,1
7,156.3235,42.0836,0,1
6,160.8052,38.8392,0,1
5.875,157.3012,46.8244,0,1
7,148.2325,40.2182,0,1
6.125,132.1838,35.4035,0,1
6.125,148.3803,50.7665,0,1
5.625,165.9063,51.9855,0,1
7.625,139.1703,37.0379,0,1
6.125,154.2818,55.7975,0,1
6.25,149.1428,31.5158,0,1
5.875,141.4907,44.265,0,1
6.375,151.4672,48.2146,0,1
6.375,132.4507,34.3187,0,1
6,148.809,36.3227,0,1
6.75,143.9718,44.4975,0,1
7.5,141.5247,39.7151,0,1
5.875,148.8317,44.0679,0,1
5.875,135.9007,30.8297,0,1
5.625,145.4858,44.5872,0,1
6,135.6228,31.648,0,1
6.5,160.8545,28.6207,0,1
7.25,137.2915,34.1744,0,1
7.125,153.009,55.0997,0,1
6.125,143.36,33.1957,0,1
6.25,132.5155,30.39,0,1
6.625,128.1172,36.0842,0,1
5.75,152.467,47.1016,0,1
7,150.5417,41.929,0,1
7,141.9552,47.8407,0,1
7.125,147.385,47.8931,0,1
6,142.7625,30.9666,0,1
5.625,158.4158,41.7665,0,1
6,145.7972,46.2608,0,1
6.25,154.1827,40.2765,0,1
6.5,141.063,42.4731,0,1
6.375,144.8297,44.7337,0,1
6.375,145.5988,49.2374,0,1
6.5,147.6193,37.5006,0,1
5.875,140.1835,34.5934,0,1
6.25,145.9022,28.9425,0,1
6.5,170.177,53.1559,0,1
5.5,138.0927,38.2603,0,1
7,139.0458,43.6874,0,1
7.375,142.3844,40.0253,0,1
6.875,154.5288,37.6973,0,1
6.625,141.244,36.0632,0,1
5.875,158.72,59.2969,0,1
6.5,135.808,31.573,0,1
5.875,149.1472,42.532,0,1
6.625,161.6048,61.865,0,1
6,136.943,37.6207,0,1
5.875,181.5587,74.2967,0,1
5.875,148.4537,50.7361,0,1
6.375,135.9678,39.3958,0,1
6.875,133.32,38.7846,0,1
5.5,148.615,44.4888,0,1
5.875,150.3108,40.4944,0,1
6,154.67,33.9544,0,1
6.625,144.3237,39.4268,0,1
5.875,127.9125,20.8622,0,1
6.375,164.024,49.4901,0,1
5.625,140.448,24.5899,0,1
7,128.8218,32.8688,0,1
6.375,152.3187,44.929,0,1
6.125,144.3008,33.8985,0,1
7,145.9535,42.2254,0,1
6.375,163.6085,32.5291,0,1
6.625,133.0948,38.9788,0,1
6.75,142.6347,47.6998,0,1
7.25,138.1738,38.8903,0,1
7,144.3005,51.3023,0,1
6.625,146.1562,34.8892,0,1
6.5,165.2725,41.6234,0,1
5.875,172.8878,54.0463,0,1
5.375,153.4682,46.9368,0,1
6.25,143.1972,36.7235,0,1
6.75,147.5985,32.0768,0,1
7.125,143.6243,47.4494,0,1
6.375,135.9788,34.2928,0,1
6.625,139.1215,38.322,0,1
6.125,157.7767,47.3222,0,1
6.25,156.7622,41.8278,0,1
5.75,154.0438,53.4569,0,1
7,142.4177,36.1588,0,1
6.375,150.0685,36.3548,0,1
6.25,144.9583,30.755,0,1
6.125,156.1817,41.3666,0,1
6.875,136.2115,40.8483,0,1
6.75,141.2358,40.4205,0,1
6.375,133.0015,32.0068,0,1
7,145.8403,45.6063,0,1
6.25,137.5907,32.5497,0,1
6.75,127.3167,33.5448,0,1
6.375,136.8565,39.3847,0,1
6.25,142.8007,40.7776,0,1
6.625,160.7732,51.2694,0,1
5.875,160.7783,38.2549,0,1
6.5,139.3613,32.8546,0,1
6.75,136.4575,38.1995,0,1
6.25,144.8175,34.169,0,1
7,147.0282,51.8634,0,1
6.375,154.929,52.3447,0,1
6.375,156.8777,42.2337,0,1
6.125,139.41,33.0006,0,1
6.5,153.5797,46.6414,0,1
6.125,142.366,41.3421,0,1
6.125,145.9128,45.3446,0,1
7.125,137.0615,34.282,0,1
7.25,143.961,40.0695,0,1
6.875,156.5393,43.6405,0,1
6.25,130.5943,39.9761,0,1
6.25,139.389,37.8728,0,1
6.5,134.5617,37.3598,0,1
6.125,151.0538,40.4691,0,1
